timestamp,binbytes,libbytes,loc,buildtime
1726110205,17792,1347080,995,0.247
1726304062,22280,1347240,978,0.275
1726359020,22280,1347328,1009,0.285
1726363016,22280,1347584,1055,0.340
1726376907,22280,1347824,1086,0.304
1726381527,22280,1352184,1128,0.396
1726387926,22336,1352160,1153,0.500
1726390726,22336,1352472,1191,0.480
1726641306,22336,1357224,1397,0.496
1726782769,22336,1357464,1451,0.481
1726783620,22336,1357464,1438,0.468
1726809313,22336,1357496,1454,0.537
1726820603,22336,1361896,1624,0.551
1726889658,22296,1365992,1672,0.399
1726891860,22296,1366024,1674,0.402
1726979797,22296,1366024,1678,0.413
1727051109,22296,1366032,1693,0.404
1727057522,22296,1366088,1693,0.406
1727057706,22296,1366096,1693,0.405
1727060646,22296,1366240,1715,0.522
1727129039,23112,1375328,2004,0.740
1727134000,23112,1375328,2004,0.483
1727140558,23112,1371448,2016,0.486
1727142650,23112,1375808,2086,0.493
1727143064,23112,1375784,2085,0.487
1727143494,23112,1375960,2097,0.488
1727153672,23112,1375960,2052,0.549
1727154724,23112,1375960,2054,0.500
1727155435,23064,1375960,2053,0.499
1727156225,22864,1375960,2048,0.493
1727157963,22864,1376224,2112,0.490
1727198629,22864,1375984,2126,0.636
1727199571,23744,1375984,2133,0.663
1727480806,23696,1380744,1931,0.527
1727481064,23696,1380728,1930,0.527
1727558950,23696,1380880,1940,0.650
1727586299,23696,1381072,1985,0.519
1727648843,23696,1381152,1997,0.583
1727649471,23696,1381240,2014,0.600
1727649932,23696,1381240,2021,0.592
1727656184,23880,1381368,1967,0.526
1727675330,23880,1381368,1963,0.516
1727678535,23672,1377120,1959,0.502
1727763225,23672,1385432,2083,0.578
1727765604,23784,1385584,2141,0.591
1727817093,23784,1385584,2155,0.574
1727817521,23784,1385632,2161,0.533
1727818840,23784,1381192,2165,0.549
1727824121,23840,1381224,2157,0.517
1727825421,23840,1381216,2098,0.550
1727833389,23784,1385568,2115,0.558
1727834889,23776,1385520,2143,0.513
1727838492,23776,1385680,2159,0.557
1727896022,23760,1385840,2139,0.646
1727915683,23760,1389936,2280,0.520
1727982571,23904,1390168,2424,0.658
1727984791,23904,1394520,2622,0.608
1728165170,23904,1395168,2746,0.532
1728176970,23904,1395224,2785,0.546
1728184933,23904,1403520,2863,0.573
1728194451,23904,1403576,2887,0.557
1728198974,23904,1403656,2914,0.556
1728248273,32192,1404144,2937,0.668
1728330261,32192,1408464,3059,0.674
1728424157,32192,1408496,3146,0.815
1728433695,32192,1408496,3145,0.638
1728435974,32192,1408424,3154,0.633
